Country,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
0,30.7,21.3,25.5,0.7,16.1,35.3,37734.04
0,31.7,21.0,25.4,0.2,21.3,45.0,44561.25
0,33.1,19.7,26.3,1.0,25.0,48.2,46549.4
0,34.3,20.4,27.4,1.0,26.9,51.8,46482.98
0,34.9,20.5,27.8,1.0,23.4,46.4,46415.04
0,36.7,21.8,29.7,1.0,19.4,42.1,46345.63
0,36.5,23.2,30.1,1.0,21.3,42.1,46180.78
0,36.4,23.9,29.5,1.0,23.6,45.7,44253.97
0,36.2,22.7,28.9,1.0,25.0,47.5,46129.45
0,37.0,22.8,29.3,1.0,27.1,50.0,46054.98
0,36.2,21.9,29.0,1.0,25.4,51.8,45846.89
0,33.7,21.5,27.5,1.0,27.2,55.1,45902.84
0,31.3,21.4,25.2,2.9,22.9,46.8,41883.0
0,29.4,19.7,23.8,1.5,20.1,41.8,42122.3
0,32.4,19.6,25.3,0.9,20.7,43.2,45667.7
0,34.5,21.5,27.9,1.0,18.4,37.1,45319.57
0,34.2,21.9,28.3,1.0,18.7,38.5,44525.3
0,35.5,22.8,29.1,1.0,19.8,40.3,45050.95
0,36.1,23.2,29.1,1.0,21.4,41.8,45186.15
0,32.0,22.8,26.6,2.6,19.6,42.8,42534.37
0,30.2,20.9,25.1,0.1,15.3,32.8,41128.05
0,28.3,20.9,23.9,14.5,14.7,31.7,32459.21
0,29.0,20.7,24.1,3.1,12.6,25.9,42633.73
0,31.2,21.2,25.6,0.2,17.9,32.4,44179.58
0,32.4,21.5,26.3,1.0,19.4,39.6,44206.21
0,33.2,21.0,26.8,1.0,22.9,42.1,44299.39
0,35.0,20.5,27.7,1.0,16.7,32.8,44253.66
0,33.8,19.8,27.5,1.0,19.6,39.6,43677.06
0,31.5,21.4,26.4,1.0,22.5,42.1,43282.48
0,34.3,21.4,27.4,1.0,22.5,44.3,43098.41
0,35.5,20.8,28.5,1.0,21.3,42.8,43428.37
0,33.6,23.2,27.6,1.0,24.1,45.7,42992.99
0,33.4,20.1,26.4,1.0,19.2,36.4,41722.38
0,33.2,20.6,26.7,1.0,16.3,33.5,42552.3
0,32.2,21.0,26.2,2.3,15.3,31.0,40145.09
0,31.7,21.3,26.4,0.4,9.9,24.1,41267.01
0,34.4,23.0,28.3,0.3,15.3,35.6,41534.66
0,36.3,22.2,29.3,0.3,24.1,45.7,41819.27
0,37.1,22.0,29.6,1.0,24.2,43.9,41470.82
0,36.3,22.1,29.1,1.0,21.5,39.6,41712.35
0,35.5,21.0,28.2,1.0,24.2,44.6,41448.09
0,34.1,20.8,27.5,1.0,24.0,47.2,41123.17
0,33.6,20.2,27.0,1.0,22.1,41.4,41000.51
0,34.0,20.6,27.6,1.0,18.4,36.4,40969.21
0,34.5,22.0,28.1,1.0,19.7,38.2,40965.48
0,35.4,21.4,28.1,1.0,19.0,37.4,40961.53
0,35.2,21.3,28.0,1.0,21.4,41.0,40957.41
0,34.6,20.5,27.3,1.0,23.2,49.0,40703.52
0,33.2,21.3,26.4,1.0,24.6,46.8,40577.41
0,32.6,19.4,25.6,1.0,24.9,46.8,40575.89
0,31.6,19.2,24.4,1.0,23.3,47.2,40088.27
0,31.1,18.0,24.3,1.0,21.4,40.3,38307.68
0,32.0,19.2,25.3,1.0,20.9,39.2,40450.89
0,32.1,20.0,25.6,1.0,20.3,40.0,40331.62
0,33.1,19.6,26.2,1.0,15.8,32.8,40331.34
0,32.8,20.3,26.6,1.0,12.2,25.6,40215.22
0,33.4,20.5,27.1,1.0,17.1,34.2,40215.72
0,34.1,19.2,27.1,1.0,17.4,34.6,40215.98
0,33.3,19.5,26.5,1.0,18.7,34.6,40216.0
0,31.0,18.7,24.9,1.0,21.3,37.8,40105.23
0,28.8,19.1,23.8,0.2,15.2,32.8,39326.38
0,27.2,18.3,22.9,0.1,19.6,38.9,39110.09
0,27.1,18.2,22.4,1.0,17.6,37.1,39429.13
0,29.6,17.5,23.3,1.0,17.3,33.8,39700.25
0,30.2,18.6,24.0,1.0,19.5,38.2,39624.39
0,29.7,18.3,23.9,0.6,24.9,52.6,39446.09
0,29.5,18.2,22.9,1.0,18.1,38.5,39371.37
0,27.6,14.5,20.9,1.0,16.1,30.6,37545.97
0,29.7,15.9,22.6,1.0,10.8,26.3,39124.31
0,30.7,16.8,23.8,1.0,13.5,28.1,39147.27
0,31.6,17.0,24.7,1.0,17.6,32.8,39072.85
0,29.8,14.7,23.6,1.0,18.5,38.9,38906.21
0,30.3,19.2,24.2,1.0,17.6,33.8,38743.49
0,30.9,19.5,24.6,1.0,16.6,33.1,38673.8
0,32.0,18.6,25.3,1.0,15.3,29.2,38604.71
0,30.8,19.4,24.9,1.0,15.9,33.1,38451.16
0,29.6,18.7,24.4,1.0,15.3,32.0,38384.19
0,28.2,19.1,23.8,1.0,18.0,32.4,37128.73
